Реле РСВ-13-18 з.п (ЧЭАЗ г.Чебоксары),20,
Наконечник Е1508(гильза 1.5мм2 8мм) уп 100шт,2,Беспалов А.В. для ТО
Наконечник Е2508(гильза 2.5мм2 8мм) уп100шт,2,Беспалов А.В. для ТО
Хомут нейлон3х 200 уп-100шт.,4,Беспалов А.В. для ТО
Наконечник штыревой втулочный изолированный двойной НШвИ(2) 1.5х12 (100шт.),1,Беспалов А.В. для ТО
Наконечник штыревой втулочный изолированный двойной НШвИ(2) 2.5х12,1,Беспалов А.В. для ТО
Отвертка РZ/FL1х80(артикул 78593 КВТ.1000V),12,Комплектация бригад
Отвертка РZ/FL2х100(артикул 78594 КВТ.1000V),12,Комплектация бригад
Реле контроля 3х фаз 380 CKF-BT (Евроавтоматика) или аналог,10,Гор зона
Реле контроля напряжения CР-720 (Евроавтоматика) или аналог,7,Гор зона
Реле времени программируемое PCR-515 (Евроавтоматика) или аналог,2,Гор зона
Средство от укусов комаров и клещей,12,Комплектация бригад
Диодный мост KBU6M / 6А. 1000В,10,Семененков
Светильник светодиодный 36Вт 220В 3000 Лм 1200мм,12,склад и боксы
Маркер ВS-1 перманентный чёрный 0.5мм,11,
Изолента ПВХ 20м рулон,7,
Блок БР-8 (РУП БЭМН),3,
Диод 1N5408 3А 1000В,18,
Хомут нейлон 3Х150 уп- 100шт.,2,Хуртов
Лампа (сигнальная) цилиндрическая Ц 220-230 10 b15d,20,Хуртов
Реле МР-851 (РУП БЭМН),1,В Аварийный запас
Реле РП-361 5Аз.п.(ЧЭАЗ г.Чебоксары),2,В Аварийный запас
Пресс-клещи для обжима штыревых втулочных наконечников КВТ ПКВш-6,2,
Кримпер для опрессовки изолированных наконечников КВТ CTK-01,1,
Паяльник стержневой 40Вт/12В),12,в бригады
Разъём питания 220В АС-101 (KLS1-ASS 202),15,для переносок и паяльников
Разъём питания 220В AC-022 / L-KLS1-AS-302-1,10,на удлинители
