Автомат PL7-2P 4А тип С 10кА. 2М,6,
Блок испытательный БИ-4,6,
Реле МР5 ПО50 (РУП БЭМН),3,
Переключатель ТО-2-8221/Е тип 1-2 на 2 но на 1 и 2 (2xНКР-2),6,
Блок питания БПТМ 610 (РУП БЭМН),3,
Блок БР-8 (РУП БЭМН),3,
Реле RUC-1013-26-1220-K DC220В 16А 3 ноз,9,
Реле РП341 5А з.п.(ЧЭАЗ г.Чебоксары),6,
Кнопка КЕ 011,3,
Розетка двухполюсная Рар-3-ОП 250В.16А,6,
Реле РУ21/0.16 з.п.(ЧЭАЗ г.Чебоксары) (перем.ток),6,
Лампа СКЛ-14А-Ж- 2-220 Жёлтая,3,
Изолента ПВХ 20м рулон,3,
Маркер ВS-1 перманентный чёрный 0.5мм,1,
Хомут нейлон 3Х100 уп- 100шт.,2,
Ограничитель на DIN-рейку (ИЭК),6,
Наконечник Е1508(гильза 1.5мм2 8мм) уп 100шт,2,
Наконечник Е2508(гильза 2.5мм2 8мм) уп100шт,1,
Провод ПВ3-1.5,500,
Провод ПВ1-2.5,200,
"Трубка ТВ-40 ПВХ d4мм ""кембрик"" (м)",100,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
