Наименование,Заказано,Местонахождение,,Цена\Итого,7154866
Автомат PL7-DC2P 4А тип С 10кА. 2М,4,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,27.79,
Кабель КВВГэнг 10x2.5,240,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,10.82,
Кабель КВВГэнг 14x1.5,128,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,4.75,
Кабель КВВГэнг 7x1.5,50,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,3.23,
Кабель КВВГэнг 5x1.5,329,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,1.79,
Кабель КВВГэнг 5x2.5,380,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,2.17,
Кабель КВВГэнг 10x1.5,16,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,3.53,
Кабель КВВГэнг 19x1.5,128,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,5.2,
Шкаф РЗА ВЛ-110кВ (2 комплекса),1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,25650,
Шкаф промежуточных зажимов,1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,3200,
Переключатель ТО-2-8215/Е тип 1>0<2 2но на 1 и 2(КУ),1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,22.55,
DIN-рейка 35мм для клемм 60 см,1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,1.8,
Изолента ПВХ 20м рулон,3,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,2.4,
Герметик силиконовый тубус,1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,9.6,
Кабельная бирка для маркировки,40,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,0.12,
Хомут нейлон 3Х150 уп- 100шт.,2,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,1.8,
Ограничитель на DIN-рейку (ИЭК),10,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,0.2,
Провод ПВ1-1.5,30,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,0.29,
"Трубка ТВ-40 ПВХ d4мм ""кембрик"" (м)",20,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,0.26,
Металлорукав типа РЗ-Ц-25 мм,75,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,0.7,
Металлорукав типа РЗ-Ц-ПВХ-32 мм,25,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,2.5,
Муфта вводная с наружной резьбой МВн-32 ,5,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,5,
Маркер ВS-1 перманентный чёрный 0.5мм,1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,15.5,
Провод ПВ3-2.5,5,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,0.47,
Шкаф отбора напряжения ШОН,1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,1500,
Муфта вводная с наружной резьбой МВн-25,5,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,5,
Провод ПВ3-1,160,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,0.3,
Автомат PL7-3P 25А тип С 10кА. 2М,1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 ВитТЭЦ,42,
