Наименование,Заказано,Местонахождение,,,11091514
Автомат PL7-DC2P 4А тип С 10кА. 2М,4,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,27.79,
Кабель КВВГэнг 10x2.5,135,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,10.82,
Кабель КВВГэнг 14x1.5,148,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,4.75,
Кабель КВВГэнг 7x1.5,60,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,3.23,
Кабель КВВГэнг 5x1.5,321,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,1.79,
Кабель КВВГэнг 5x2.5,475,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,2.17,
Кабель КВВГэнг 10x1.5,18,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,3.53,
Кабель КВВГэнг 19x1.5,217,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,5.2,
Шкаф РЗА ВЛ-110кВ (2 комплекса),1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,25650,
Шкаф промежуточных зажимов,1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,3200,
Переключатель ТО-2-8215/Е тип 1>0<2 2но на 1 и 2(КУ),1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,22.55,
DIN-рейка 35мм для клемм 60 см,1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,1.8,
Изолента ПВХ 20м рулон,3,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,2.4,
Герметик силиконовый тубус,1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,9.6,
Кабельная бирка для маркировки,40,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,0.12,
Хомут нейлон 3Х150 уп- 100шт.,2,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,1.8,
Ограничитель на DIN-рейку (ИЭК),10,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,0.2,
Провод ПВ1-1.5,30,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,0.29,
"Трубка ТВ-40 ПВХ d4мм ""кембрик"" (м)",20,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,0.26,
Металлорукав типа РЗ-Ц-25 мм,75,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,0.7,
Металлорукав типа РЗ-Ц-ПВХ-32 мм,25,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,2.5,
Муфта вводная с наружной резьбой МВн-32 ,5,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,5,
Маркер ВS-1 перманентный чёрный 0.5мм,1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,15.5,
Провод ПВ3-2.5,5,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,0.47,
Шкаф отбора напряжения ШОН,1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,1500,
Муфта вводная с наружной резьбой МВн-25,5,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,5,
Провод ПВ3-1,40,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,0.3,
Автомат PL7-3P 25А тип С 10кА. 2М,1,,ПС Шумилино Ремонт РЗА ВЛ-110кВ на МР-771 Мясокомб,42,
