Наименование,Код ТНВЭД,Цена без НДС,Импорт,Производитель,Дата цены,Требования и техпараметры,Примечание,Перечень БЭСК,Единственный производитель в РБ,Наличие отечественного производителя,Наличие производителя в ГПО,Еденица измерения количества,Не РЗА,Золото,Серебро,Фото
Автомат 50А/2 полюса/хар-ка С/DC/2.2кА,8536201008,5,Да,,14.01.2015,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат ВА 47-29 10 А/ 2 полюса/хар-ка С,8536201008,4.48,Да,Группа компаний IEK,16.08.2018,10 А,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат ВА 47-29 3 А/ 2 полюса/хар-ка С,8536201008,4.36,Да,Группа компаний IEK,16.08.2018,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат ВА 47-29 4 А/ 2 полюса/хар-ка С,8536201008,4.49,Да,Группа компаний IEK,16.08.2018,4 А,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат ВА 47-29 4 А/ 3 полюса/хар-ка С,8536201008,14.53,Да,Группа компаний IEK,30.07.2020,4 А,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат ВА 47-29 4 А/ 3 полюса/хар-ка B,8536201008,6,Да,Группа компаний IEK,16.08.2018,4 А,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат ВА 47-29 40 А/ 2 полюса/хар-ка С,8536201008,9.97,Да,Группа компаний IEK,30.07.2020,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат ВА 47-29 6 А/3 полюса/хар-ка С,8536201008,16.37,Да,Группа компаний IEK,30.07.2020,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат ВА 57-31-801810 с нез.и тепл. расцепепителем,8536201008,61.28,Да,,30.07.2020,100 А,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат ВА 57-31-841110-50 А-500 А-440 DC-УХЛ3-КЭАЗ,8536201008,61.28,Да,,30.07.2020,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат ВА-99М/63 тр50А с независимым расцепителем АС220В,8536201008,98,Да,,30.07.2020,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат ВА-99М/63 тр80А с независимым расцепителем АС 220В,8536201008,100,Да,,30.07.2020,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат РL7-3P 10А тип С 10кВ 3М,8536201008,16,Да,Eaton,05.10.2017,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат РL7-3P 25А тип С 10кВ 3М,8536201008,22,Да,Eaton,05.10.2017,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат РL7-3P 4А тип С 10кВ 3М,8536201008,18.57,Да,Eaton,05.10.2017,,,Автоматические выключатели,Нет,Нет,Нет,,Нет,,,0
Автомат РL7-3P 50А тип С 10кВ 3М,8536201008,25,Да,Eaton,05.10.2017,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат РL7-3P 6А тип С 10кВ 3М,8536201008,18.52,Да,Eaton,05.10.2017,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат PL7 В4/2 DC (Moeller),8536201008,29.47,Да,,16.08.2020,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат PL7 С4/2 DC (Moeller),8536201008,30.14,Да,,16.08.2018,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Автомат PL7-16C/2-DC (Moeller),8536201008,22.9,Да,,16.08.2018,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
